County,Number_Of_NPL_Sites,NPL_Score_Sum,Number_Of_Harmful_Power_Plants,Incident_Rate_Trend,Recent_5years_Trend,Time_Adjusted_Cancer_Rate
Caldwell,0,0.0,0,-0.5,stable,0.5014
Traill,0,0.0,3,-0.5,stable,0.5014
Saline,0,0.0,0,-2.1,stable,0.5013
Clay,0,0.0,0,-1.2,stable,0.5013
Walworth,1,28.9,1,-1.5,stable,0.5013
Knott,0,0.0,0,0.4,stable,0.5013
Madison,0,0.0,1,-0.4,stable,0.5012
Grainger,0,0.0,0,0.1,stable,0.5012
Lenoir,0,0.0,1,0.2,stable,0.5011
Rowan,1,46.51,3,-2.9,stable,0.5010000000000001
St Tammany,2,77.78999999999999,0,-0.5,falling,0.5007999999999999
Tazewell,0,0.0,3,-0.3,stable,0.5007999999999999
Marinette,0,0.0,2,-0.6,stable,0.5006
Marshall,0,0.0,0,4.1,stable,0.5006
Scotland,0,0.0,0,-6.5,stable,0.5006
Martin,0,0.0,0,0.2,stable,0.5005
Washburn,0,0.0,0,-6.4,stable,0.5005
Harper,0,0.0,1,0.6,stable,0.5005
Cherokee,0,0.0,0,2.0,stable,0.5005
Brunswick,0,0.0,2,7.0,rising,0.5005
Jackson,0,0.0,4,0.3,stable,0.5004
Washington,1,33.03,4,3.0,stable,0.5004
Tyrrell,0,0.0,0,3.8,stable,0.5003000000000001
Acadia,1,48.2,1,-0.2,stable,0.5003000000000001
Kenton,0,0.0,0,2.6,stable,0.5003000000000001
Calhoun,0,0.0,0,-0.1,stable,0.5002000000000001
Boyle,0,0.0,0,0.2,stable,0.5002000000000001
Crawford,0,0.0,0,-0.9,stable,0.5001
Stewart,0,0.0,0,-4.3,stable,0.5001
Trinity,0,0.0,0,5.5,stable,0.5
Muskogee,0,0.0,2,-0.5,stable,0.5
Bradley,0,0.0,0,-2.6,stable,0.4999
Lewis,0,0.0,1,-0.1,stable,0.4999
Tama,0,0.0,3,0.1,stable,0.49950000000000006
Crawford,1,33.62,0,0.0,stable,0.4994
Dubuque,1,46.24,5,-0.3,stable,0.4994
Mills,0,0.0,0,-0.2,stable,0.4993
Scott,1,40.7,1,0.4,stable,0.49910000000000004
Cleveland,0,0.0,0,7.0,stable,0.49910000000000004
Benton,0,0.0,0,-1.4,stable,0.49899999999999994
Lee,0,0.0,0,-0.8,stable,0.49899999999999994
Milwaukee,1,32.14,7,-0.4,stable,0.49899999999999994
Roane,0,0.0,0,-4.1,stable,0.49899999999999994
Caroline,0,0.0,0,-1.7,stable,0.4989
Macomb,4,194.92000000000002,3,-0.3,falling,0.4988
Macon,0,0.0,0,-0.5,stable,0.4988
Merrimack,0,0.0,2,-2.7,stable,0.49870000000000003
Allegany,1,30.54,1,2.3,stable,0.49870000000000003
Harrison,1,38.4,1,-0.4,stable,0.4986
McClain,1,51.01,1,-0.1,stable,0.49840000000000007
St Mary,0,0.0,2,0.0,stable,0.49840000000000007
Jefferson,0,0.0,1,1.5,stable,0.49840000000000007
Lewis and Clark,2,111.65,0,2.1,stable,0.49820000000000003
Jones,0,0.0,0,28.9,stable,0.49810000000000004
Pierce,6,241.63000000000002,4,-1.0,falling,0.498
Rhea,0,0.0,0,3.7,stable,0.498
Bibb,2,98.97,2,-0.2,stable,0.498
Fredericksburg City,0,0.0,0,-2.3,stable,0.4979
Adams,0,0.0,1,2.6,stable,0.4979
Lake,1,44.03,2,-1.6,stable,0.49779999999999996
Ashland,1,50.0,1,-1.6,stable,0.49770000000000003
Shasta,1,56.16,6,-0.4,stable,0.49759999999999993
Clallam,1,50.0,1,-0.1,stable,0.49750000000000005
Macoupin,0,0.0,0,3.6,stable,0.4974
Bond,0,0.0,0,-0.2,stable,0.4974
Erie,0,0.0,1,-2.1,stable,0.4973
Webster,1,30.26,0,-0.9,falling,0.4973
Perry,0,0.0,0,8.8,stable,0.49710000000000004
Montgomery,2,80.0,1,3.9,stable,0.49700000000000005
Harmon,0,0.0,0,10.2,stable,0.49700000000000005
Schuyler,0,0.0,0,10.3,rising,0.49700000000000005
Leflore,0,0.0,1,0.2,stable,0.4969
Jennings,0,0.0,0,-2.2,stable,0.49670000000000003
