Site Name,Site Score,State,normalized_county,Status,Latitude,Longitude,Fips
Celanese Corp. (Shelby Fiber Operations),48.98,North Carolina,Cleveland,NPL Site,35.208889,-81.528339,37045
Cape Fear Wood Preserving,34.09,North Carolina,Cumberland,NPL Site,35.04945,-79.020839,37051
Aberdeen Pesticide Dumps,52.7,North Carolina,Moore,NPL Site,35.1384,-79.4472,37125
Charles Macon Lagoon & Drum Storage,47.1,North Carolina,Richmond,NPL Site,34.8925,-79.8375,37153
Carolina Transformer Co.,33.76,North Carolina,Cumberland,NPL Site,35.063331,-78.845,37051
"Benfield Industries, Inc.",31.67,North Carolina,Haywood,NPL Site,35.477781,-83.00416899999998,37087
Potter's Septic Tank Service Pits,29.14,North Carolina,Brunswick,NPL Site,34.2846,-78.1578,37019
Camp Lejeune Military Reservation,33.13,North Carolina,Onslow,NPL Site,34.717781,-77.342919,37133
"Koppers Co., Inc. (Morrisville Plant)",41.89,North Carolina,Wake,NPL Site,35.8463,-78.8406,37183
ABC One Hour Cleaners,29.11,North Carolina,Onslow,NPL Site,34.7414,-77.3666,37133
Geigy Chemical Corp. (Aberdeen Plant),33.02,North Carolina,Moore,NPL Site,35.126111,-79.406669,37125
"FCX, Inc. (Statesville Plant)",37.93,North Carolina,Iredell,NPL Site,35.7865,-80.9163,37097
"FCX, Inc. (Washington Plant)",40.39,North Carolina,Beaufort,NPL Site,35.559581,-77.07445,37013
JFD Electronics/Channel Master,39.03,North Carolina,Granville,NPL Site,36.299719,-78.60638900000002,37077
"Chemtronics, Inc.",30.16,North Carolina,Buncombe,NPL Site,35.625,-82.434719,37021
General Electric Co/Shepherd Farm,70.71,North Carolina,Henderson,NPL Site,35.272222,-82.411111,37089
Cherry Point Marine Corps Air Station,70.71,North Carolina,Craven,NPL Site,34.9,-76.8917,37049
Davis Park Road TCE,33.5,North Carolina,Gaston,NPL Site,35.231667,-81.218889,37071
North Belmont PCE,50.0,North Carolina,Gaston,NPL Site,35.273472,-81.05125,37071
Barber Orchard,70.71,North Carolina,Haywood,NPL Site,35.445833,-83.063889,37087
Ward Transformer,50.0,North Carolina,Wake,NPL Site,35.901944,-78.773611,37183
Ram Leather Care,40.43,North Carolina,Mecklenburg,NPL Site,35.228056,-80.606806,37119
National Starch & Chemical Corp.,46.51,North Carolina,Rowan,NPL Site,35.6322,-80.5412,37159
Sigmon's Septic Tank Service,30.03,North Carolina,Iredell,NPL Site,35.713611,-80.974583,37097
Blue Ridge Plating Company,38.67,North Carolina,Buncombe,NPL Site,35.46237199999999,-82.528358,37021
Aberdeen Contaminated Ground Water,50.0,North Carolina,Moore,NPL Site,35.1224,-79.4025,37125
GMH Electronics,50.0,North Carolina,Person,NPL Site,36.416722,-78.941625,37145
Ore Knob Mine,50.0,North Carolina,Ashe,NPL Site,36.410011,-81.324606,37009
Kerr-McGee Chemical Corp - Navassa,50.0,North Carolina,Brunswick,NPL Site,34.247222,-77.99902800000002,37019
Wright Chemical Corporation,48.03,North Carolina,Columbus,NPL Site,34.3284,-78.2051,37047
Horton Iron and Metal,48.03,North Carolina,New Hanover,NPL Site,34.26665,-77.954083,37129
"CTS of Asheville, Inc.",38.4,North Carolina,Buncombe,NPL Site,35.493075,-82.505953,37021
Holcomb Creosote Co,48.0,North Carolina,Yadkin,NPL Site,36.157875,-80.675236,37197
Cristex Drum,48.0,North Carolina,Granville,NPL Site,36.2972,-78.6067,37077
Hemphill Road TCE,50.0,North Carolina,Gaston,NPL Site,35.197933,-81.189852,37071
Cornhusker Army Ammunition Plant,51.13,Nebraska,Hall,NPL Site,40.923331,-98.4925,31079
Hastings Ground Water Contamination,42.24,Nebraska,Adams,NPL Site,40.583331,-98.383331,31001
Nebraska Ordnance Plant (Former),31.94,Nebraska,Saunders,NPL Site,41.176669,-96.453331,31155
10th Street Site,28.9,Nebraska,Platte,NPL Site,41.426561,-97.362219,31141
Cleburn Street Well,50.0,Nebraska,Hall,NPL Site,40.925139,-98.347778,31079
Sherwood Medical Co.,50.0,Nebraska,Madison,NPL Site,41.993611,-97.421389,31119
Bruno Co-op Association/Associated Properties,50.0,Nebraska,Butler,NPL Site,41.284722,-96.959722,31023
Ogallala Ground Water Contamination,50.0,Nebraska,Keith,NPL Site,41.123889,-101.736111,31101
Omaha Lead,50.0,Nebraska,Douglas,NPL Site,41.267778,-95.929722,31055
"American Anodco, Inc.",57.99,Michigan,Ionia,NPL Site,42.9875,-85.03,26067
J & L Landfill,31.65,Michigan,Oakland,NPL Site,42.6556,-83.0959,26125
Joliet Army Ammunition Plant (Manufacturing Area),32.08,Illinois,Will,NPL Site,41.3762,-88.1563,17197
