country,name,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,state,normalized_county,5years_generation_gwh
USA,Allegheny Hydro No 8,13.6,40.8966,-79.479,Hydro,1991,Pennsylvania,Armstrong,457.95399999999995
USA,Allegheny Hydro No 9,17.8,40.956,-79.5507,Hydro,1991,Pennsylvania,Armstrong,549.599
USA,Allegheny No 6 Hydro Station,9.2,40.7164,-79.5772,Hydro,1988,Pennsylvania,Armstrong,154.177
USA,Allegheny No. 5 Hydro Station,9.2,40.6829,-79.6653,Hydro,1988,Pennsylvania,Armstrong,146.078
USA,Allegheny Ridge Wind Farm,80.0,40.3839,-78.5794,Wind,2007,Pennsylvania,Cambria,968.7590000000001
USA,Allen,1610.8,35.0741,-90.1487,Coal,1963,Arkansas,Crittenden,18412.351991000003
USA,Allen S King,598.4,45.03,-92.7786,Coal,1958,Minnesota,Washington,14180.807015000002
USA,Allendale Biomass,22.5,32.995,-81.2819,Waste,2013,South Carolina,Allendale,604.019
USA,Allendorf,3.8,43.4,-95.6333,Wind,2000,Iowa,Osceola,14.836
USA,Allenwood,3.2,41.1511,-76.9178,Waste,2012,Pennsylvania,Lycoming,126.391
USA,Alliance Refinery,25.0,29.6833,-89.975,Gas,1985,Louisiana,Jefferson,21.64555
USA,Alliant Energy Neenah,371.0,44.1936,-88.5064,Gas,2000,Wisconsin,Winnebago,362.15
USA,Alliant SBD 8501 Aegon LI,3.1,42.0243,-91.704,Oil,1985,Iowa,Linn,0.027
USA,Alliant SBD 8601 Quad Graphics,3.6,41.7958,-92.0592,Oil,1990,Iowa,Iowa,0.006999999999999999
USA,Alliant SBD 8602 Marion Sub,5.6,42.0289,-91.5975,Oil,1986,Iowa,Linn,0.103
USA,Alliant SBD 9106 Rockwell CR,16.0,42.0356,-91.6458,Oil,1992,Iowa,Linn,0.57462
USA,Alliant SBD 9107 JBS USA,11.4,42.056,-92.8971,Oil,1994,Iowa,Marshall,0.129
USA,Alliant SBD 9201 Norplex,2.1,43.0906,-91.5542,Oil,2000,Iowa,Allamakee,0.11580000000000001
USA,Alliant SBD 9203 Profol,5.6,41.935,-91.6361,Oil,2003,Iowa,Linn,1.17208
USA,Alliant SBD 9205 A Y McDonald,3.6,42.4906,-90.745,Oil,1994,Iowa,Dubuque,0.041999999999999996
USA,Alliant SBD 9206 Donaldson,1.6,43.3744,-92.1331,Oil,1995,Iowa,Howard,0.05784
USA,Alliant SBD 9301 Prairie Farms,2.9,42.53,-90.6847,Oil,1994,Iowa,Dubuque,0.0774
USA,Alliant SBD 9302 Aegon NP,1.2,42.0264,-91.7042,Oil,1995,Iowa,Linn,0.01294
USA,Alliant SBD 9403 Aegon DC,4.1,41.9167,-91.6542,Oil,2002,Iowa,Linn,0.052779999999999994
USA,Alliant SBD 9502 Eaton,5.4,42.8381,-93.6033,Oil,1997,Iowa,Wright,0.40684
