County,State,Number_Of_NPL_Sites,NPL_Score_Sum,Number_Of_Harmful_Power_Plants,Generation_5years_Total,Incident_Rate_Trend,Recent_5years_Trend,Time_Adjusted_Cancer_Rate,NPL_Status,Powerplants_Status
Nye,Nevada,0,0.0,0,172.90099999999995,-3.0,stable,0.4460000000000001,No NPL Sites,No Harmful Powerplants
Crawford,Wisconsin,0,0.0,2,1835.3189940000002,0.7,stable,0.4459,No NPL Sites,Two Harmful Powerplants
Randolph,Missouri,0,0.0,2,39348.57304700001,4.0,rising,0.4458,No NPL Sites,Two Harmful Powerplants
Durham,North Carolina,0,0.0,1,137.679,-0.1,stable,0.4458,No NPL Sites,One Harmful Powerplants
Mobile,Alabama,2,79.11000000000001,8,76195.39347899999,-1.9,falling,0.4458,Have NPL Sites,More Than Two Harmful Powerplants
Calhoun,South Carolina,0,0.0,0,9.706,-9.3,stable,0.4456,No NPL Sites,No Harmful Powerplants
Broward,Florida,5,216.36,4,35010.872044,-1.2,stable,0.4456,Have NPL Sites,More Than Two Harmful Powerplants
Tuscaloosa,Alabama,0,0.0,0,863.7570000000002,-1.8,stable,0.4456,No NPL Sites,No Harmful Powerplants
Evans,Georgia,0,0.0,0,0.0,-0.7,stable,0.4456,No NPL Sites,No Harmful Powerplants
Orange,Indiana,0,0.0,0,0.0,-1.2,stable,0.4455,No NPL Sites,No Harmful Powerplants
Adams,North Dakota,0,0.0,0,866.388,-0.5,stable,0.4455,No NPL Sites,No Harmful Powerplants
Culpeper,Virginia,1,45.91,0,0.0,-0.4,stable,0.4454,Have NPL Sites,No Harmful Powerplants
Geneva,Alabama,0,0.0,0,0.0,3.0,stable,0.4454,No NPL Sites,No Harmful Powerplants
Chicot,Arkansas,0,0.0,0,0.0,0.7,stable,0.4454,No NPL Sites,No Harmful Powerplants
Union,Louisiana,1,50.0,0,0.0,-0.8,stable,0.4453,Have NPL Sites,No Harmful Powerplants
Nowata,Oklahoma,0,0.0,0,0.0,3.8,stable,0.4451,No NPL Sites,No Harmful Powerplants
McCormick,South Carolina,1,50.0,0,0.0,2.7,stable,0.4451,Have NPL Sites,No Harmful Powerplants
Harrison,Missouri,0,0.0,0,0.0,2.1,stable,0.4451,No NPL Sites,No Harmful Powerplants
Paulding,Ohio,0,0.0,0,2042.611,2.9,stable,0.445,No NPL Sites,No Harmful Powerplants
Cumberland,Pennsylvania,1,50.0,4,244.83924000000005,-1.6,stable,0.445,Have NPL Sites,More Than Two Harmful Powerplants
Baldwin,Alabama,0,0.0,0,0.0,-2.0,stable,0.445,No NPL Sites,No Harmful Powerplants
Anderson,Texas,0,0.0,0,0.0,-1.5,stable,0.4449,No NPL Sites,No Harmful Powerplants
Garfield,Oklahoma,0,0.0,0,1051.88,-3.6,stable,0.4449,No NPL Sites,No Harmful Powerplants
Camas,Idaho,0,0.0,0,0.0,0.2,stable,0.4448,No NPL Sites,No Harmful Powerplants
Boone,Indiana,2,92.48,1,548.8930000000001,3.3,stable,0.4448,Have NPL Sites,One Harmful Powerplants
Hamilton,Indiana,0,0.0,1,564.576,0.6,stable,0.4447,No NPL Sites,One Harmful Powerplants
Victoria,Texas,0,0.0,4,6275.470270000001,0.5,stable,0.4447,No NPL Sites,More Than Two Harmful Powerplants
Bronx,New York,0,0.0,5,738.5483400000003,-1.8,falling,0.4446000000000001,No NPL Sites,More Than Two Harmful Powerplants
Platte,Nebraska,2,76.81,1,959.8540040000003,4.8,stable,0.4446000000000001,Have NPL Sites,One Harmful Powerplants
Washington,Vermont,0,0.0,2,361.95400000000006,0.3,stable,0.4445,No NPL Sites,Two Harmful Powerplants
