name,latitude,longitude,primary_fuel,state,normalized_county,Fips
CF Industries Yazoo City Complex,32.9041,-90.3781,Gas,Mississippi,Yazoo,28163
CFB Power Plant,28.6503,-96.5397,Gas,Texas,Calhoun,48057
CH Resources Beaver Falls,43.8861,-75.4342,Gas,New York,Lewis,36049
CH Resources Syracuse,43.0664,-76.2144,Gas,New York,Onondaga,36067
CIP II/AR Bridgewater Holdings - NJCOE,40.624,-74.634,Gas,New Jersey,Somerset,34035
CITGO Refinery Powerhouse,30.1826,-93.3234,Gas,Louisiana,Calcasieu,22019
CML&P Generating Facility No. 2,37.093,-95.5852,Gas,Kansas,Montgomery,20125
CPV St Charles Energy Center,38.5686,-76.8919,Gas,Maryland,Charles,24017
CSL Behring LLC,41.1603,-87.8542,Gas,Illinois,Kankakee,17091
CSU East Bay,37.6589,-122.0594,Gas,California,Alameda,6001
CSU Northridge Plant,34.2433,-118.5306,Gas,California,Los Angeles,6037
CSUCI Site Authority,34.162,-119.0479,Gas,California,Ventura,6111
CSUF Trigeneration,33.8806,-117.8866,Gas,California,Orange,6059
Caithness Long Island Energy Center,40.8142,-72.9403,Gas,New York,Suffolk,36103
CalPeak Power Enterprise Peaker Plant,33.1219,-117.1174,Gas,California,San Diego,6073
CalPeak Power Panoche Peaker Plant,36.6529,-120.5806,Gas,California,Fresno,6019
CalPeak Power Vaca Dixon Peaker Plant,38.3989,-121.924,Gas,California,Solano,6095
Calcasieu,30.1608,-93.345,Gas,Louisiana,Calcasieu,22019
Caledonia,33.6464,-88.2717,Gas,Mississippi,Lowndes,28087
Calhoun Energy Center,33.5883,-85.9731,Gas,Alabama,Calhoun,1015
California Institute of Technology,34.1385,-118.1256,Gas,California,Los Angeles,6037
California State University San Bernardi,34.1858,-117.3242,Gas,California,San Bernardino,6071
Calumet Energy Team LLC,41.6835,-87.5563,Gas,Illinois,Cook,17031
Calvert City,37.0483,-88.3539,Gas,Kentucky,Marshall,21157
Cambridge CT,45.601000000000006,-93.2081,Gas,Minnesota,Isanti,27059
Camden Plant Holding LLC,39.9175,-75.1192,Gas,New Jersey,Camden,34007
Camden South Carolina,34.2338,-80.6558,Gas,South Carolina,Kershaw,45055
Canaday,40.6942,-99.7011,Gas,Nebraska,Dawson,31047
Cane Island,28.2764,-81.533,Gas,Florida,Polk,12105
Cane Run,38.1831,-85.8892,Gas,Kentucky,Jefferson,21111
Cannon Falls Energy Center,44.5367,-92.9155,Gas,Minnesota,Goodhue,27049
Canyon Power Plant,33.8581,-117.8617,Gas,California,Orange,6059
Cape Canaveral,28.4698,-80.7644,Gas,Florida,Brevard,12009
Capitol District Energy Center,41.7639,-72.6925,Gas,Connecticut,Hartford,9003
Cargill Corn Milling Division,41.1386,-92.6467,Gas,Iowa,Wapello,19179
Cargill Salt,42.8183,-82.4856,Gas,Michigan,St Clair,26147
Cargill Salt Hersey,43.8342,-85.3558,Gas,Michigan,Osceola,26133
Carl Bailey,35.2601,-91.3634,Gas,Arkansas,Woodruff,5147
Carlls Corner,39.4547,-75.2014,Gas,New Jersey,Cumberland,34011
Carr Street Generating Station,43.0613,-76.0824,Gas,New York,Onondaga,36067
Carroll County Energy,40.6044,-81.0592,Gas,Ohio,Carroll,39019
Carrollton,39.3515,-93.5016,Gas,Missouri,Carroll,29033
Carson Cogeneration,33.8759,-118.2491,Gas,California,Los Angeles,6037
Carson Ice-Gen Project,38.4457,-121.4624,Gas,California,Sacramento,6067
Carthage,37.1766,-94.2994,Gas,Missouri,Jasper,29097
Carthage Energy LLC,43.9842,-75.6225,Gas,New York,Jefferson,36045
Carty Generating Station,45.6986,-119.8131,Gas,Oregon,Morrow,41049
Carville Energy LLC,30.2294,-91.065,Gas,Louisiana,Iberville,22047
Cascade Creek,44.0322,-92.4908,Gas,Minnesota,Olmsted,27109
Cass County,40.9479,-95.964,Gas,Nebraska,Cass,31025
Castleton Energy Center,42.5375,-73.7433,Gas,New York,Rensselaer,36083
Cedar Bayou,29.75,-94.9256,Gas,Texas,Harris,48201
Cedar Bayou 4,29.7516,-94.9231,Gas,Texas,Harris,48201
Celanese Acetate LLC,37.3439,-80.765,Gas,Virginia,Giles,51071
Cellu Tissue,41.7761,-72.6067,Gas,Connecticut,Hartford,9003
Center Peaker,33.9296,-118.1046,Gas,California,Los Angeles,6037
Central Energy Facility,34.6794,-82.8403,Gas,South Carolina,Pickens,45077
Central Energy Plant,28.4263,-81.5809,Gas,Florida,Orange,12095
Central Energy Plant USU,41.7486,-111.8117,Gas,Utah,Cache,49005
Central Michigan University,43.5905,-84.779,Gas,Michigan,Isabella,26073
Central Utilities Plant LAX 2,33.9439,-118.4042,Gas,California,Los Angeles,6037
Central Utility Plant,30.3974,-97.8426,Gas,Texas,Williamson,48491
Central Utility Plant - Texas A&M,30.6178,-96.3433,Gas,Texas,Brazos,48041
Central Utility Plant Cincinnati,39.1345,-84.5094,Gas,Ohio,Hamilton,39061
Central Utility Plant at White Oak,39.0394,-76.9825,Gas,Maryland,Montgomery,24031
Century Generating Facility,34.0606,-117.3533,Gas,California,San Bernardino,6071
Ceredo Generating Station,38.3681,-82.5339,Gas,West Virginia,Wayne,54099
Chalk Cliff Limited,35.0968,-119.4299,Gas,California,Kern,6029
Chambersburg,39.8669,-77.6858,Gas,Pennsylvania,Franklin,42055
Chamon Power LLC,29.8832,-95.1113,Gas,Texas,Harris,48201
Channel Energy Center LLC,29.7189,-95.2319,Gas,Texas,Harris,48201
Channelview Cogeneration Plant,29.837,-95.1217,Gas,Texas,Harris,48201
Chanute 2,37.6953,-95.4586,Gas,Kansas,Neosho,20133
Chanute 3,37.6376,-95.4704,Gas,Kansas,Neosho,20133
Charles D. Lamb Energy Center,36.8139,-97.1253,Gas,Oklahoma,Kay,40071
Charles P Keller,40.6583,-73.6406,Gas,New York,Nassau,36059
Charter Dura-Bar,42.2891,-88.413,Gas,Illinois,Henry,17073
Chatham,42.9344,-85.3475,Gas,Michigan,Kent,26081
Chattahoochee Energy Facility,33.4072,-85.0386,Gas,Georgia,Heard,13149
Chehalis Generating Facility,46.6225,-122.9131,Gas,Washington,Lewis,53041
Cherokee,39.8073,-104.9645,Gas,Colorado,Adams,8001
Cherokee County Cogen,35.0727,-81.613,Gas,South Carolina,Cherokee,45021
Chevron Oil,30.34,-88.4919,Gas,Mississippi,Jackson,28059
Cheyenne Prairie Generating Station,41.1236,-104.72,Gas,Wyoming,Laramie,56021
Chicago West Side Energy Center,41.8708,-87.6784,Gas,Illinois,Cook,17031
Chillicothe,39.7834,-93.5641,Gas,Missouri,Livingston,29117
Chino Mines,32.6956,-108.1225,Gas,New Mexico,Grant,35017
Choctaw County,33.2881,-89.4201,Gas,Mississippi,Choctaw,28019
Chouteau,36.2221,-95.2771,Gas,Oklahoma,Mayes,40097
Chowchilla II,37.1073,-120.2485,Gas,California,Madera,6039
Chuck Lenzie Generating Station,36.3837,-114.9218,Gas,Nevada,Clark,32003
Chula Vista Energy Center,32.5917,-117.0586,Gas,California,San Diego,6073
Cimarron River,37.1611,-100.7619,Gas,Kansas,Meade,20119
City of Palo Alto,37.4383,-122.1094,Gas,California,Santa Clara,6085
City of West Plains Power Station,36.7486,-91.8686,Gas,Missouri,Howell,29091
CityCenter Central Plant Cogen Units,36.1039,-115.1794,Gas,Nevada,Clark,32003
Civic Center,34.0564,-118.2436,Gas,California,Los Angeles,6037
Clairton Works,40.3097,-79.8819,Gas,Pennsylvania,Allegheny,42003
Clark (NVE),36.0875,-115.0507,Gas,Nevada,Clark,32003
Clark University,42.2508,-71.8226,Gas,Massachusetts,Worcester,25027
Claude Vandyke,42.731,-85.8551,Gas,Michigan,Ottawa,26139
Clay Center,39.374,-97.1272,Gas,Kansas,Clay,20027
Clayville,39.4244,-75.02,Gas,New Jersey,Cumberland,34011
Clearwater Power Plant,33.8912,-117.6085,Gas,California,Riverside,6065
Cleary Flood,41.8653,-71.1061,Gas,Massachusetts,Bristol,25005
Cleveland Cnty Generating Facility,35.1705,-81.4166,Gas,North Carolina,Cleveland,37045
Cleveland Thermal,41.5094,-81.6823,Gas,Ohio,Cuyahoga,39035
Clifton,39.6125,-97.2778,Gas,Kansas,Clay,20027
Clinch River,36.9333,-82.1997,Gas,Virginia,Russell,51167
Clinton,42.0682,-83.976,Gas,Michigan,Lenawee,26091
Coachella,33.6758,-116.1714,Gas,California,Riverside,6065
Coalinga 25D Cogen,36.1556,-120.3972,Gas,California,Fresno,6019
Coalinga 6C Cogen,36.2097,-120.3828,Gas,California,Fresno,6019
Coalinga Cogeneration,36.1807,-120.3885,Gas,California,Fresno,6019
Coalinga Cogeneration Facility,36.1703,-120.3641,Gas,California,Fresno,6019
Coca Cola American Canyon,38.1907,-122.2751,Gas,California,Napa,6055
Coffeyville,37.0373,-95.6127,Gas,Kansas,Montgomery,20125
Cogeneration 1,32.2299,-110.9528,Gas,Arizona,Pima,4019
Cogeneration 2,32.2408,-110.9483,Gas,Arizona,Pima,4019
Coit GT,33.9803,-81.0407,Gas,South Carolina,Richland,45079
Colbert,34.7439,-87.8486,Gas,Alabama,Colbert,1033
Colby,39.403,-101.0382,Gas,Kansas,Thomas,20193
Coldwater Peaking Plant,41.9194,-85.0242,Gas,Michigan,Branch,26023
College of New Jersey,40.2694,-74.7733,Gas,New Jersey,Mercer,34021
Collinwood,41.5569,-81.58800000000002,Gas,Ohio,Cuyahoga,39035
Colorado Bend Energy Center,29.2878,-96.0683,Gas,Texas,Wharton,48481
Colorado Bend II,29.2894,-96.0654,Gas,Texas,Wharton,48481
Colorado Energy Nations Company,39.7606,-105.215,Gas,Colorado,Jefferson,8059
Columbia (MO),38.9646,-92.3168,Gas,Missouri,Boone,29019
Columbia Energy Center,39.0192,-92.2629,Gas,Missouri,Boone,29019
Columbia Energy Center (SC),33.8697,-81.0178,Gas,South Carolina,Lexington,45063
Colusa Generating Station,39.3661,-122.27,Gas,California,Colusa,6011
Comanche (OK),34.5431,-98.3244,Gas,Oklahoma,Comanche,40031
Combined Locks Energy Center,44.2717,-88.3011,Gas,Wisconsin,Outagamie,55087
Combustion Turbine Project No 2,38.0881,-121.3869,Gas,California,San Joaquin,6077
Concord,43.1669,-88.69,Gas,Wisconsin,Jefferson,55055
Consumer Operations LLC,44.4936,-88.0303,Gas,Wisconsin,Brown,55009
Coolidge Generation Station,32.9174,-111.5033,Gas,Arizona,Pinal,4021
Copper,31.7569,-106.375,Gas,Texas,El Paso,48141
Coralville GT,41.6719,-91.564,Gas,Iowa,Johnson,19103
Cordova Energy,41.7122,-90.2797,Gas,Iowa,Clinton,19045
Cornell University Central Heat,42.4428,-76.4764,Gas,New York,Tompkins,36109
Corpus Christi,27.8111,-97.5958,Gas,Texas,Nueces,48355
Corpus Christi Energy Center,27.8139,-97.4283,Gas,Texas,Nueces,48355
Corpus Refinery,27.8322,-97.5281,Gas,Texas,San Patricio,48409
Cosumnes,38.3385,-121.124,Gas,California,Sacramento,6067
Cottonwood Energy Project,30.2588,-93.7353,Gas,Texas,Newton,48351
Coughlin Power Station,30.8439,-92.2611,Gas,Louisiana,Avoyelles,22009
