State,FIPS,case_per_100k,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,incidence_rate_trend,Lower 95% CI,Upper 95% CI,county,State_Code,Cancer_Rate
Virginia,51081,479.7,429.6,534.4,70,rising,12.8,8.6,17.3,Greensville,VA,0.004797
Mississippi,28107,479.6,448.7,512.1,188,stable,2.0,-3.3,7.6,Panola,MS,0.004796
Texas,48181,479.5,463.9,495.5,754,stable,-1.1,-6.8,4.8,Grayson,TX,0.004795
Kentucky,21221,479.5,436.6,525.9,102,stable,-0.7,-1.8,0.5,Trigg,KY,0.004795
Louisiana,22079,479.4,463.8,495.5,735,stable,-0.3,-0.9,0.2,Rapides,LA,0.004794
New York,36089,479.4,462.6,496.7,644,falling,-1.0,-1.5,-0.5,St Lawrence,NY,0.004794
Nebraska,31111,479.4,450.6,509.6,221,stable,-2.4,-7.5,3.0,Lincoln,NE,0.004794
Indiana,18067,479.3,460.4,498.9,513,rising,4.2,1.0,7.5,Howard,IN,0.004793
Georgia,13311,479.3,448.4,512.1,195,stable,-0.6,-1.7,0.6,White,GA,0.004793
Mississippi,28139,479.3,441.8,519.2,126,stable,2.7,-9.5,16.6,Tippah,MS,0.004793
Michigan,26155,479.2,458.3,500.8,422,stable,1.7,-7.4,11.7,Shiawassee,MI,0.004792
Iowa,19041,479.1,438.3,523.0,112,stable,0.0,-0.5,0.4,Clay,IA,0.004791
Louisiana,22017,479.1,467.7,490.7,1418,falling,-0.7,-1.1,-0.2,Caddo,LA,0.004791
Michigan,26049,479.0,470.3,487.8,2418,stable,-1.9,-6.1,2.6,Genesee,MI,0.00479
Indiana,18095,479.0,463.7,494.6,781,stable,1.0,-0.3,2.4,Madison,IN,0.00479
Virginia,51057,479.0,429.9,532.6,76,stable,0.0,-16.6,19.9,Essex,VA,0.00479
Indiana,18031,478.8,444.7,515.0,152,stable,1.9,-1.5,5.4,Decatur,IN,0.004788
Alabama,01055,478.7,461.9,496.1,640,stable,0.8,-2.7,4.5,Etowah,AL,0.004787
Wisconsin,55133,478.7,470.0,487.6,2452,stable,0.2,-0.9,1.4,Waukesha,WI,0.004787
Missouri,29163,478.7,439.2,521.1,112,stable,-2.0,-5.7,1.8,Pike,MO,0.004787
Virginia,51037,478.7,432.4,529.1,85,stable,-0.8,-16.2,17.5,Charlotte,VA,0.004787
New York,36119,478.6,473.0,484.4,5687,falling,-0.7,-0.9,-0.4,Westchester,NY,0.004786
Pennsylvania,42089,478.6,464.9,492.6,997,stable,1.4,-2.8,5.8,Monroe,PA,0.004786
Wisconsin,55131,478.5,463.4,494.0,801,rising,1.7,0.7,2.6,Washington,WI,0.004785
West Virginia,54055,478.4,457.1,500.6,414,stable,-0.7,-5.2,3.9,Mercer,WV,0.004784
Alabama,01007,478.3,441.2,517.8,128,stable,-0.9,-11.6,11.1,Bibb,AL,0.004783
Illinois,17145,478.2,441.7,517.2,132,stable,2.6,-13.2,21.2,Perry,IL,0.004782
South Carolina,45077,478.2,461.7,495.2,664,stable,-1.8,-5.9,2.4,Pickens,SC,0.004782
Ohio,39141,478.2,458.3,498.8,453,stable,0.9,-7.6,10.2,Ross,OH,0.004782
Georgia,13251,478.2,432.4,527.8,86,stable,0.4,-0.7,1.6,Screven,GA,0.004782
Georgia,13009,478.2,451.0,506.6,245,stable,-0.2,-1.2,0.9,Baldwin,GA,0.004782
Oregon,41069,478.2,353.8,645.1,13,stable,-6.5,-28.1,21.6,Wheeler,OR,0.004782
Iowa,19151,478.1,418.5,544.9,53,stable,0.0,-0.6,0.6,Pocahontas,IA,0.0047810000000000005
Missouri,29169,478.1,446.6,511.1,179,stable,0.0,-4.3,4.6,Pulaski,MO,0.0047810000000000005
Nebraska,31101,478.0,422.0,540.3,62,stable,1.0,-23.3,32.9,Keith,NE,0.00478
Missouri,29115,477.9,431.8,528.0,85,falling,-8.0,-12.8,-3.0,Linn,MO,0.004778999999999999
Virginia,51015,477.9,458.6,497.9,494,stable,-1.6,-7.7,4.9,Augusta,VA,0.004778999999999999
West Virginia,54081,477.8,458.6,497.7,502,stable,1.0,-4.1,6.4,Raleigh,WV,0.004778
Florida,12057,477.8,472.6,483.0,6804,falling,-2.5,-3.2,-1.9,Hillsborough,FL,0.004778
Tennessee,47031,477.7,454.1,502.3,320,stable,-1.8,-5.0,1.6,Coffee,TN,0.004777
Georgia,13129,477.7,453.1,503.3,294,stable,-0.2,-0.7,0.4,Gordon,GA,0.004777
Pennsylvania,42069,477.6,466.0,489.6,1368,stable,-1.2,-7.3,5.2,Lackawanna,PA,0.004776
Georgia,13075,477.6,434.5,523.9,93,stable,0.4,-0.7,1.5,Cook,GA,0.004776
West Virginia,54073,477.6,417.8,544.2,48,stable,8.7,-1.4,19.9,Pleasants,WV,0.004776
New York,36101,477.6,460.4,495.3,623,falling,-1.0,-1.5,-0.5,Steuben,NY,0.004776
Illinois,17131,477.6,436.6,521.7,109,stable,-2.6,-11.5,7.2,Mercer,IL,0.004776
Montana,30085,477.4,418.8,541.8,52,falling,-9.3,-13.6,-4.7,Roosevelt,MT,0.004774
Mississippi,28117,477.4,443.1,513.8,150,stable,1.6,-5.1,8.9,Prentiss,MS,0.004774
