site_name,city,site_id,list_date,site_score,indicator
"Thermo-Chem, Inc.",Muskegon,MID044567162,06/10/1986,53.36,No
Torch Lake,Houghton County,MID980901946,06/10/1986,46.72,No
U.S. Aviex,Howard Township,MID980794556,09/08/1983,33.66,No
Velsicol Chemical Corp.(Michigan),St. Louis,MID000722439,09/08/1983,52.29,No
Verona Well Field,Battle Creek,MID980793806,09/08/1983,46.86,No
Wash King Laundry,Pleasant Plains Township,MID980701247,09/08/1983,40.03,No
Arrowhead Refinery Co.,Hermantown,MND980823975,09/21/1984,43.75,No
Baytown Township Ground Water Plume,Baytown Township,MND982425209,12/16/1994,35.62,No
Burlington Northern (Brainerd/Baxter Plant),"Baxter, Brainerd",MND000686196,09/08/1983,46.77,No
FMC Corp. (Fridley Plant),Fridley,MND006481543,09/08/1983,65.50,No
Freeway Sanitary Landfill,Burnsville,MND038384004,06/10/1986,45.91,No
Fridley Commons Park Well Field,Fridley,MND985701309,01/19/1999,50.00,No
General Mills/Henkel Corp.,Minneapolis,MND051441731,09/21/1984,36.28,No
Joslyn Manufacturing & Supply Co.,Brooklyn Center,MND044799856,09/21/1984,44.30,No
Koppers Coke,St. Paul,MND000819359,09/08/1983,55.05,No
Kurt Manufacturing Co.,Fridley,MND059680165,06/10/1986,31.41,No
Lehillier/Mankato Site,Lehillier,MND980792469,09/08/1983,42.49,No
Long Prairie Ground Water Contamination,Long Prairie,MND980904072,06/10/1986,31.94,No
MacGillis & Gibbs/Bell Lumber & Pole Co.,New Brighton,MND006192694,09/21/1984,48.33,No
Naval Industrial Reserve Ordnance Plant,Fridley,MN3170022914,11/21/1989,30.83,Yes
New Brighton/Arden Hills/TCAAP (USARMY),New Brighton,MN7213820908,09/08/1983,59.16,Yes
Oakdale Dump,Oakdale,MND980609515,09/08/1983,55.71,No
Perham Arsenic Site,Perham,MND980609572,09/21/1984,37.98,No
Reilly Tar & Chemical Corp. (St. Louis Park Plant),St. Louis Park,MND980609804,09/08/1983,,No
Ritari Post & Pole,Sebeka,MND980904064,07/22/1987,29.81,No
South Andover Site,Andover,MND980609614,09/08/1983,35.41,No
South Minneapolis Residential Soil Contamination,Minneapolis,MNN000509136,09/19/2007,44.58,No
Spring Park Municipal Well Field,Spring Park,MNN000502963,05/17/2018,50.00,No
St. Louis River Site,St. Louis County,MND039045430,09/21/1984,32.08,No
St. Regis Paper Co.,Cass Lake,MND057597940,09/21/1984,52.88,No
Waite Park Wells,Waite Park,MND981002249,06/10/1986,31.94,No
"American Creosote Works, Inc.",Louisville,MSD004006995,09/13/2001,62.20,No
"Chemfax, Inc.",Gulfport,MSD008154486,03/15/2012,38.40,No
Kerr-McGee Chemical Corp - Columbus,Columbus,MSD990866329,09/16/2011,52.47,No
Mississippi Phosphates Corporation,Pascagoula,MSN000403508,01/18/2018,50.00,No
Picayune Wood Treating,Picayune,MSD065490930,07/22/2004,51.03,No
Red Panther Chemical Company,Clarksdale,MSD000272385,09/16/2011,39.43,No
Rockwell International Wheel & Trim,Grenada,MSD007037278,09/13/2018,50.00,No
Sonford Products,Flowood,MSD086556388,03/07/2007,31.66,No
Southeastern Wood Preserving,Canton,MSD000828558,03/15/2012,48.03,No
Annapolis Lead Mine,Annapolis,MO0000958611,07/22/2004,56.67,No
Armour Road,North Kansas City,MOD046750253,05/10/1999,50.00,No
Bee Cee Manufacturing Co.,Malden,MOD980860522,06/10/1986,28.59,No
Big River Mine Tailings/St. Joe Minerals Corp.,Desloge,MOD981126899,10/14/1992,84.91,No
Compass Plaza Well TCE,Rogersville,MON000706143,03/15/2012,50.00,No
Conservation Chemical Co.,Kansas City,MOD000829705,10/04/1989,29.85,No
Ellisville Site,Ellisville,MOD980633010,09/08/1983,,No
Fulbright Landfill,Springfield,MOD980631139,09/08/1983,40.60,No
Lake City Army Ammunition Plant (Northwest Lagoon),Independence,MO3213890012,07/22/1987,33.62,Yes
Lee Chemical,Liberty,MOD980853519,06/10/1986,46.81,No
Madison County Mines,Fredericktown,MOD098633415,09/29/2003,58.41,No
Minker/Stout/Romaine Creek,Imperial,MOD980741912,09/08/1983,36.78,No
Missouri Electric Works,Cape Girardeau,MOD980965982,02/21/1990,31.20,No
Newton County Mine Tailings,Granby,MOD981507585,09/29/2003,50.00,No
Newton County Wells,Joplin,MOD985798339,07/27/2000,50.00,No
Oak Grove Village Well,Oak Grove Village,MOD981717036,09/05/2002,50.00,No
Oronogo-Duenweg Mining Belt,Jasper County,MOD980686281,08/30/1990,46.20,No
Pools Prairie,Neosho,MO0000958835,09/17/1999,50.00,No
Quality Plating,Sikeston,MOD980860555,06/10/1986,40.70,No
Riverfront,New Haven,MOD981720246,12/01/2000,50.00,No
"Solid State Circuits, Inc.",Republic,MOD980854111,06/10/1986,37.93,No
Southwest Jefferson County Mining,Jefferson County,MON000705443,09/23/2009,70.71,No
Sporlan Valve Plant #1,Washington,MON000703541,05/15/2019,35.15,No
St. Louis Airport/Hazelwood Interim Storage/Futura Coatings Co.,St. Louis County,MOD980633176,10/04/1989,38.31,No
Syntex Facility,Verona,MOD007452154,09/08/1983,43.78,No
Valley Park TCE,Valley Park,MOD980968341,06/10/1986,35.57,No
Vienna Wells,Vienna,MON000705803,09/29/2010,50.00,No
Washington County Lead District - Furnace Creek,Caledonia,MON000705842,03/10/2011,50.00,No
Washington County Lead District - Old Mines,Old Mines,MON000705027,03/19/2008,76.81,No
Washington County Lead District - Potosi,Potosi,MON000705023,03/19/2008,50.00,No
Washington County Lead District - Richwoods,Richwoods,MON000705032,03/19/2008,76.81,No
Weldon Spring Former Army Ordnance Works,St. Charles County,MO5210021288,02/21/1990,30.26,Yes
Weldon Spring Quarry/Plant/Pits (USDOE/Army),St. Charles County,MO3210090004,07/22/1987,58.60,Yes
Westlake Landfill,Bridgeton,MOD079900932,08/30/1990,29.85,No
ACM Smelter and Refinery,Black Eagle,MTD093291599,03/10/2011,54.26,No
Anaconda Aluminum Co Columbia Falls Reduction Plant,Columbia Falls,MTD057561763,09/09/2016,68.39,No
Anaconda Co. Smelter,Anaconda,MTD093291656,09/08/1983,58.71,No
Barker Hughesville Mining District,Barker,MT6122307485,09/13/2001,50.00,No
Basin Mining Area,Basin,MTD982572562,10/22/1999,61.15,No
